Input,PalletType,DecimalBoxNumber,NetBoxNumber,NumberPallet,TotalPalletWeight,NetProductWeight,TotalWeight,Input.1,UnitCost,UnitSelling,TransportCost,TransportSelling,SubTotalSelling,TotalSelling,CostPerKg,SellingPerKg,ProfitPerKg
547,EURO,36.46666666666667,36,1.012962962962963,48.62222222222223,540,588.6222222222223,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
547,STANDARD,36.46666666666667,36,0.7597222222222223,44.06388888888889,540,584.0638888888889,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
548,EURO,36.53333333333333,36,1.0148148148148148,48.71111111111111,540,588.7111111111111,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
548,STANDARD,36.53333333333333,36,0.7611111111111111,44.144444444444446,540,584.1444444444444,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
549,EURO,36.6,36,1.0166666666666666,48.8,540,588.8,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
549,STANDARD,36.6,36,0.7625000000000001,44.225,540,584.225,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
550,EURO,36.666666666666664,36,1.0185185185185184,48.888888888888886,540,588.8888888888889,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
550,STANDARD,36.666666666666664,36,0.7638888888888888,44.30555555555555,540,584.3055555555555,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
551,EURO,36.733333333333334,36,1.0203703703703704,48.977777777777774,540,588.9777777777778,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
551,STANDARD,36.733333333333334,36,0.7652777777777778,44.38611111111111,540,584.3861111111111,540,5400,5670,4e3,5600,11270,12002.55,17.40740740740741,22.22694444444444,4.819537037037033
